K,T,S0,iv,type
170.0,0.07397260273972603,278.28,0.936524072265625,call
190.0,0.07397260273972603,278.28,0.770510107421875,call
195.0,0.07397260273972603,278.28,0.72070591796875,call
200.0,0.07397260273972603,278.28,0.6904327832031252,call
210.0,0.07397260273972603,278.28,0.5918009570312501,call
220.0,0.07397260273972603,278.28,0.575077491455078,call
225.0,0.07397260273972603,278.28,0.5782512878417969,call
230.0,0.07397260273972603,278.28,0.6167030517578126,call
235.0,0.07397260273972603,278.28,0.49377947631835944,call
240.0,0.07397260273972603,278.28,0.5218553674316406,call
245.0,0.07397260273972603,278.28,0.4014952429199219,call
250.0,0.07397260273972603,278.28,0.3820862573242187,call
255.0,0.07397260273972603,278.28,0.32813171874999997,call
260.0,0.07397260273972603,278.28,0.28882547119140617,call
265.0,0.07397260273972603,278.28,0.26105475280761714,call
270.0,0.07397260273972603,278.28,0.2401199035644531,call
275.0,0.07397260273972603,278.28,0.2186357434082031,call
280.0,0.07397260273972603,278.28,0.2082598706054687,call
285.0,0.07397260273972603,278.28,0.1970905487060547,call
290.0,0.07397260273972603,278.28,0.1930622686767578,call
295.0,0.07397260273972603,278.28,0.18836260864257812,call
300.0,0.07397260273972603,278.28,0.18970536865234378,call
305.0,0.07397260273972603,278.28,0.192390888671875,call
310.0,0.07397260273972603,278.28,0.198250205078125,call
315.0,0.07397260273972603,278.28,0.20606262695312497,call
320.0,0.07397260273972603,278.28,0.270515107421875,call
325.0,0.07397260273972603,278.28,0.26563234375,call
330.0,0.07397260273972603,278.28,0.3007882421875,call
335.0,0.07397260273972603,278.28,0.334967587890625,call
340.0,0.07397260273972603,278.28,0.3544986425781249,call
345.0,0.07397260273972603,278.28,0.375982802734375,call
350.0,0.07397260273972603,278.28,0.3969786865234375,call
370.0,0.07397260273972603,278.28,0.4726615234375,call
375.0,0.07397260273972603,278.28,0.49121602539062503,call
380.0,0.07397260273972603,278.28,0.5097705273437501,call
400.0,0.07397260273972603,278.28,0.5312546875,call
5.0,0.09315068493150686,278.28,8.67969207519531,call
10.0,0.09315068493150686,278.28,4.195317255859376,call
15.0,0.09315068493150686,278.28,5.644534194335938,call
20.0,0.09315068493150686,278.28,3.480470048828125,call
25.0,0.09315068493150686,278.28,3.1093772265624997,call
30.0,0.09315068493150686,278.28,2.7343781640625,call
35.0,0.09315068493150686,278.28,1.0000000000000003e-05,call
40.0,0.09315068493150686,278.28,3.2666033959960936,call
45.0,0.09315068493150686,278.28,1.0000000000000003e-05,call
50.0,0.09315068493150686,278.28,2.2773480566406246,call
55.0,0.09315068493150686,278.28,2.214848212890624,call
60.0,0.09315068493150686,278.28,1.0000000000000003e-05,call
65.0,0.09315068493150686,278.28,2.50781623046875,call
70.0,0.09315068493150686,278.28,1.0000000000000003e-05,call
75.0,0.09315068493150686,278.28,1.0000000000000003e-05,call
80.0,0.09315068493150686,278.28,1.8095712646484374,call
85.0,0.09315068493150686,278.28,1.7089858300781249,call
90.0,0.09315068493150686,278.28,1.6611345068359378,call
95.0,0.09315068493150686,278.28,1.5996113769531248,call
100.0,0.09315068493150686,278.28,1.5283226708984374,call
105.0,0.09315068493150686,278.28,1.4834010205078125,call
110.0,0.09315068493150686,278.28,1.40625296875,call
115.0,0.09315068493150686,278.28,1.365237548828125,call
120.0,0.09315068493150686,278.28,1.3046909765624997,call
125.0,0.09315068493150686,278.28,1.1943399658203124,call
130.0,0.09315068493150686,278.28,1.2085000512695312,call
135.0,0.09315068493150686,278.28,1.162113564453125,call
140.0,0.09315068493150686,278.28,1.1167036352539061,call
145.0,0.09315068493150686,278.28,1.0722702636718753,call
150.0,0.09315068493150686,278.28,1.09375453125,call
155.0,0.09315068493150686,278.28,0.9804689453125001,call
160.0,0.09315068493150686,278.28,0.9726565234375,call
165.0,0.09315068493150686,278.28,0.9353033813476561,call
170.0,0.09315068493150686,278.28,0.8693860717773438,call
175.0,0.09315068493150686,278.28,0.8522963989257812,call
180.0,0.09315068493150686,278.28,0.7905294384765625,call
185.0,0.09315068493150686,278.28,0.7478052563476563,call
190.0,0.09315068493150686,278.28,0.717776259765625,call
195.0,0.09315068493150686,278.28,0.6872589868164063,call
200.0,0.09315068493150686,278.28,0.6560092993164064,call
205.0,0.09315068493150686,278.28,0.6025430371093752,call
210.0,0.09315068493150686,278.28,0.5749554223632812,call
215.0,0.09315068493150686,278.28,0.5297898583984376,call
220.0,0.09315068493150686,278.28,0.554814022216797,call
225.0,0.09315068493150686,278.28,0.5170946728515625,call
230.0,0.09315068493150686,278.28,0.49377947631835944,call
235.0,0.09315068493150686,278.28,0.4549615051269531,call
240.0,0.09315068493150686,278.28,0.4158993957519531,call
245.0,0.09315068493150686,278.28,0.3792786682128906,call
250.0,0.09315068493150686,278.28,0.3365544860839844,call
255.0,0.09315068493150686,278.28,0.3099434240722656,call
260.0,0.09315068493150686,278.28,0.28137925659179686,call
265.0,0.09315068493150686,278.28,0.25916268188476566,call
270.0,0.09315068493150686,278.28,0.24066921447753903,call
275.0,0.09315068493150686,278.28,0.22382367980957027,call
280.0,0.09315068493150686,278.28,0.21393608337402342,call
285.0,0.09315068493150686,278.28,0.2043536596679687,call
290.0,0.09315068493150686,278.28,0.20069158691406247,call
295.0,0.09315068493150686,278.28,0.19519847778320312,call
300.0,0.09315068493150686,278.28,0.1948322705078125,call
305.0,0.09315068493150686,278.28,0.196297099609375,call
310.0,0.09315068493150686,278.28,0.19873848144531248,call
315.0,0.09315068493150686,278.28,0.2048419360351562,call
320.0,0.09315068493150686,278.28,0.20996883789062498,call
325.0,0.09315068493150686,278.28,0.21631643066406248,call
330.0,0.09315068493150686,278.28,0.2304764453125,call
335.0,0.09315068493150686,278.28,0.2973703076171874,call
340.0,0.09315068493150686,278.28,0.25879647460937505,call
350.0,0.09315068493150686,278.28,0.27539787109374997,call
360.0,0.09315068493150686,278.28,0.340826904296875,call
370.0,0.09315068493150686,278.28,0.32227240234374993,call
380.0,0.09315068493150686,278.28,0.3632876171875,call
390.0,0.09315068493150686,278.28,0.35156898437499995,call
400.0,0.09315068493150686,278.28,0.43555251953125,call
410.0,0.09315068493150686,278.28,0.5415084912109377,call
420.0,0.09315068493150686,278.28,0.5117236328125,call
430.0,0.09315068493150686,278.28,0.445318046875,call
440.0,0.09315068493150686,278.28,0.57617611328125,call
450.0,0.09315068493150686,278.28,0.48438015625,call
215.0,0.11232876712328767,278.28,0.5105029418945313,call
230.0,0.11232876712328767,278.28,0.4924367163085938,call
